team.number,team.name
1,Arctic Avalanche
2,Frostbite Phantoms
3,Polar Pioneers
4,Glacial Guardians
5,Iceberg Invaders
6,Snowstorm Stingers
7,Subzero Scorchers
8,Winter Warriors
9,Frozen Fury
10,Hailstone Hammers
11,Frostfire Foxes
12,Icy Inferno
13,Crystal Crusaders
14,Blizzard Blades
15,Coldfront Conquerors
16,Chillzone Chasers
